Codigo Instancia,Nit,Fecha Corte,Punto Entrada,Estado Verificación,Periodo,(+/-) Ganancia (pérdida),(+/-) Ajustes por gastos por impuestos a las ganancias,( + ) Ajustes por gastos de depreciación y amortización,(+/-) Ajustes por deterioro de valor (reversiones de pérdidas por deterioro de valor) reconocidas en el resultado del periodo,(+) Ajustes por provisiones,(+) Ajustes por costos financieros,(+/-) Ajustes por pérdidas (ganancias) de moneda extranjera no realizadas,(+/-) Ajustes por pérdidas (ganancias) del valor razonable,(-) Ajustes por ganancias no distribuidas de asociadas,(+/-) Ajustes por pérdidas (ganancias) por la disposición de activos no corrientes,(+/-) Otros ajustes para conciliar la ganancia (pérdida),Total ajustes para conciliar la ganancia (pérdida),(+/-) Ajustes por disminuciones (incrementos) en los inventarios,(+/-) Ajustes por la disminución (incremento) de cuentas por cobrar de origen comercial,(+/-) Ajustes por disminuciones (incrementos) en otras cuentas por cobrar derivadas de las actividades de operación,(+/-) Ajustes por el incremento (disminución) de cuentas por pagar de origen comercial,(+/-) Ajustes por incrementos (disminuciones) en otras cuentas por pagar derivadas de las actividades de operación,(+/-) Otras entradas (salidas) de efectivo,Flujos de efectivo netos procedentes de (utilizados en) actividades de operación,(+) Flujos de efectivo procedentes de la pérdida de control de subsidiarias u otros negocios,(-) Flujos de efectivo utilizados para obtener el control de subsidiarias u otros negocios,(+) Otros cobros por la venta de patrimonio o instrumentos de deuda de otras entidades,(-) Otros pagos para adquirir patrimonio o instrumentos de deuda de otras entidades,(+) Otros cobros por la venta de participaciones en negocios conjuntos,(-) Otros pagos para adquirir participaciones en negocios conjuntos,"(+) Importes procedentes de la venta de propiedades, planta y equipo","(-) Compras de propiedades, planta y equipo",(+) Importes procedentes de ventas de activos intangibles,(-) Compras de activos intangibles,(+) Recursos por ventas de otros activos a largo plazo,(-) Compras de otros activos a largo plazo,(-) Anticipos de efectivo y préstamos concedidos a terceros,(+) Cobros procedentes del reembolso de anticipos  y préstamos concedidos a terceros,"(-) Pagos derivados de contratos de futuro, a término, de opciones y de permuta financiera","(+) Cobros procedentes de contratos de futuro, a término, de opciones y de permuta financiera",(+) Dividendos recibidos,(+) Intereses recibidos,(+/-) Otras entradas (salidas) de efectivo,Flujos de efectivo netos procedentes de (utilizados en) actividades de inversión,(+) Importes procedentes de aumento de capital y/o recolocación de acciones,(-) Disminución de capital social y/o readquisición de acciones,(-) Pagos por otras participaciones en el patrimonio,(+) Importe procedente del aumento prima por emisión,(-) Disminución de prima por emisión,(+) Importes procedentes de préstamos,(-) Reembolsos de préstamos,(-) Pagos de pasivos por arrendamientos financieros,(-) Dividendos pagados,(-) Intereses pagados,(+/-) Otras entradas (salidas) de efectivo,Flujos de efectivo netos procedentes de (utilizados en) actividades de financiación,"Incremento (disminución) neto de efectivo y equivalentes al efectivo, antes del efecto de los cambios en la tasa de cambio",(+/-) Efectos de la variación en la tasa de cambio sobre el efectivo y equivalentes al efectivo,Incremento (disminución) neto de efectivo y equivalentes al efectivo,Efectivo y equivalentes al efectivo al principio del periodo,Efectivo y equivalentes al efectivo al final del periodo
158558,900559513,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-43970,,,,,,,,,,-29268,-29268,,-131017,6524,20133,-222,,-177820,,111823,,,,,,,,,,,,,,,,,,-111823,,,,70374,,218753,,,,,,289127,-516,,-516,6215,5699
158572,830095632,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-209683,29441,82,,,71188,,,,,,100711,,,355943,,-158582,,88389,,,,,,,,,,,,,,,,,,,-261144,-261144,,,,,,,110499,,,71188,,-181687,-354442,,-354442,377487,23045
158577,830128043,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,598145,736989,59356,,,125227,,,,,,921572,,,-1282193,,-165277,-1339255,-1267008,,,,,,,2175156,,,,,,,,,,,,,2175156,,,,,,,1321011,,,125227,,-1446238,-538090,,-538090,566087,27997
158607,830142201,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,858832,133033,93522,,,,-1935,,,-798405,4245,-569540,,-1373205,,39455,,58257,-986201,,,,,,,,304976,,,,,,,,,264538,,,-40438,,,,,,1900000,922257,,,,,977743,-48896,,-48896,122467,73571
158612,900182860,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,325317,0,,,,,,,,,,0,,1666182,-593293,-158306,,-688948,550952,,952817,,,,,69041,,,,,,,,,,,,,-883776,,,,,,689850,,,,,,689850,357026,,357026,1420732,1777758
158673,900331172,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,189403,,104699,,,,,,,,,104699,,-31612,,62334,-30498,,294326,,,,,,,,,,160000,,,,,,,,,,-160000,,,,,,,132102,,,,,-132102,2224,,2224,280089,282313
158696,892201114,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,4101011,1303200,214174,36572,,,,,,,,1553946,1161122,222706,,-300577,187526,-1840369,5085365,,,,,,,,0,,,,,,,,,,,163855,163855,,,,,,,4100307,,,,,-4100307,1148913,,1148913,3941907,5090820
158702,891102601,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,353389,230419,525851,,10865,7662,,,45580,12497,3948,745662,794540,-232960,-70799,-880020,-10731,-198139,500942,,,,,,,145000,19704,,13828,,,,,,,110000,,,221468,,,,,,960962,1544176,122436,110000,7074,,-822724,-100314,,-100314,1005857,905543
158711,900166615,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,717750,-241143,78948,,,28852,,,,,,-133343,,-2006280,48809,1037441,82737,-36512,-289398,,,,,,,,,,,,,,,,,,,-275848,-275848,,,,,,,,,,,,,-565246,,-565246,1113592,548346
158769,860520304,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-1713284,-316735,52210,,,,,,,,,-264525,,391812,33542,,-118780,2097824,426589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426589,,426589,1907648,2334237
158773,900702970,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,198724,,,,,,,,,,11,11,28344967,,,-10751294,,10905119,28697527,,,,,,,,,,,,,,,,,,,-15807243,-15807243,,,,,,,,,,,,,12890284,,12890284,332037,13222321
158828,900327528,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,523619,,157696,,,,,,,,,157696,,3597074,,-918457,72378,,3432310,,350000,,,,,,2636,,,,,,,,,,,,-352636,,,,,,,52833,,,,1897,-50936,3028738,,3028738,2878972,5907710
158832,900868847,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,197662,,,,,,,,116637,,,-116637,,,,130,1780715,499919,2361789,,,,,,,,,,,,,,,,,,,-2240114,-2240114,,,,,,,,,,,,,121675,,121675,868,122543
158837,900596210,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,673140,,88762,,,,,,,,,88762,515744,3513055,-2441067,-675451,98339,,1772522,,,,200000,,,,339298,,,,,,,,,,,,-539298,,,,,,,,,,,,,1233224,,1233224,687528,1920751
158847,900919916,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-13061,1569,,,,,,,,,,1569,,13399,,,,-13539,-11632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11632,,-11632,12253,621
158919,830002469,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,201104,,587,,,,,,,,,587,-4111170,119807,,-54600,1720709,,-2123563,,,,,,,587,,,,,,,,,,,,386,973,,,,,,,,,,,2067991,2067991,-54599,,-54599,619743,565144
158924,800240922,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3204629,,,,,,,,,,-755000,-755000,,,-2545356,,10217,,-85510,,,,,,,,,,,,,,,,,,,30741,30741,,,,,,,,,,,,,-54769,,-54769,140100,85331
158951,890500705,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,892388,,522799,,,-144495,,,,,4488,382792,-126835,-429060,7524,114710,,94443,935962,,,,,,,,390545,,,,,,,,,,,-183747,-574292,14331,,,,,418733,,,238006,,-207027,-11969,349701,,349701,95584,445285
158958,860001074,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-700377,,-916228,,,,,,,,340509,-575719,,-9975680,,5536854,,5337887,-377035,,,,,,,1271492,,,,,,,,,,,,,1271492,499191,,,90000,,,,,,,-1147403,-558212,336245,,336245,1260692,1596937
158967,900324429,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,283866,,,,,,,,,,,,,1123159,,-1307390,,,99635,,,,,,,,,,,,,,,,,,,-55913,-55913,,,,,,,,,,,,,43722,,43722,71056,114778
159010,832004501,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-2463503,58199,1133572,1302426,15000,,,,10505,,-17351,2481341,5835,-799467,-278333,186330,6965758,-469760,5628201,,,,,,,,5644632,,527,,,,,,,,,,-5645159,,,,,,,,,,,,,-16958,,-16958,109430,92472
159013,860008547,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,754345,,3238034,1054,11129,,,,,,,3250217,149768,-998488,1680009,1476064,-104119,-353146,5854650,,,,,,,414711,704647,,,1273990,,,,,,,,,984054,,,,,,,2159534,,3317503,,,-5477037,1361667,,1361667,1566915,2928582
159018,900375104,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-3388,1697,,,,,,,,,,1697,,,,,4435,-2740,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,1389,1393
159021,900338240,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1353210,-754249,618,,,,,,,,,-753631,,784314,,12886,,-365366,1031413,,,,,,,,,,,,1442515,,,,,,,,-1442515,,,,,,,274279,,,,,-274279,-685381,,-685381,996953,311572
159027,900339305,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-1051620,1069280,,,,,,,,,38128,1107408,,5000,,233974,,-246981,47781,,,,,,,,,,,,,,,,,,,,,,,,,,,62200,,,,,-62200,-14419,,-14419,751625,737206
159043,900435003,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,77472,-71320,,,,,,,,,,-71320,-1161445,18382,3149356,-111468,-4498019,292587,-2304455,,,,,,,,,,,,,,,,,,,,,,,,,,2747127,,,,,,2747127,442672,,442672,272725,715397
159073,891701004,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,532894,58944,31962,,,,,-547,,,,90359,,565319,,-1194537,355,,-5610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5610,,-5610,7079,1469
159085,811044814,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,21246852,9386192,8133206,,4520,,,-940829,,,-109643,16473446,11090345,-20061059,-1438716,-13635598,-9590378,21089,4105981,444318,,,,,,,7209669,,,,,,,,,,,,-6765351,,,,,,4248451,,,,,,4248451,1589081,,1589081,40027994,41617075
159086,811001501,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1045788,,333721,,,,,,,,,333721,-446043,-9962,-35666,-764640,-777271,42175,-611898,,,,,,,25105,195418,,,,,,,,,,,,-170313,700000,,,,,,106313,,,,664278,1257965,475754,,475754,619618,1095372
159092,800058809,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1000788,0,45155,0,0,0,0,0,0,0,0,45155,-4330160,628742,-2665549,412518,5961834,0,1053328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-855331,-855331,0,0,0,0,0,0,0,0,409238,0,731978,322740,520737,0,520737,1493360,2014097
159121,800038504,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,257397,36258,39974,,,,,,,,-290339,-214107,,7009,-17105,,1703,36436,71333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71333,,71333,274960,346293
159128,860048044,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3833864,97392,1864,,,,,-763801,2628979,,,-3293524,,145984,,7332,,-156436,537220,,,,,,,,,,,,,,,,,1780063,,,1780063,,,,,,,,,8100257,,,-8100257,-5782974,,-5782974,6279118,496144
159140,822007703,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,7425,10421,,,825,,,,,,16433,27679,-54654,-21943,,16046,,46793,21346,,,,,,,,903,,,,,,,,,,,,-903,,,,,,,929,,,,-10160,-11089,9354,,9354,63206,72560
159148,800086501,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1794513,-40932,463987,,,,,,,,55711,478766,,-1538269,-6179766,-671367,2345372,518086,-3252665,,,,,,,,,,,,,,,,,,,,,,,,,,5862799,6716664,,,,,-853865,-4106530,,-4106530,8004183,3897653
159190,830080002,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1161954,439064,544536,,503713,,,,,,-439064,1048249,,1180412,,133099,,1482323,5006037,,1373367,,,,,,3042,,,,,,,,,,,-2132820,-3509229,333333,,,11126717,,,13812741,,,,995878,-1356813,139995,-122094,17901,58196,76097
159208,900893919,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,58658,47266,0,0,0,0,0,0,0,0,6518,53784,0,-443891,0,-176247,0,0,-507696,0,0,0,0,0,0,69340,0,0,0,0,0,0,0,0,0,0,0,0,69340,0,0,0,0,0,0,66934,0,0,0,0,-66934,-505290,,-505290,545813,40523
159234,900031833,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3567022,,715350,-121694,,5982,,,139447,,-135734,324457,-1326179,327096,,1795971,-8458,-223118,4456791,,,,,,,,2022152,,,,,,,,,,,,-2022152,4800,,,2633543,,,1845675,,2638343,,36188,-1809487,625152,,625152,1520905,2146057
159275,830080634,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-238676,943912,36455,,704104,,,,,,,1684471,,-6111417,,4439368,68109,,-158145,,,,,,,,147916,140081,,,,,,,,,,,-7835,,,,,,,,,,,,,-165980,,-165980,1435332,1269352
159279,811041313,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,321149,208540,213377,76345,,,,,,,218,498480,-77211,-210540,-365675,5398,211043,,382644,,,,,,,4397,55075,,26759,,,,,,,,,,-77437,,,,,,1407331,1476820,,180000,,,-249489,55718,,55718,61892,117610
159294,805017506,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2519128,1111137,450372,31879,,,,-70566,,,8891,1531713,59339,34042,,194373,-45841,-1601864,2690890,,,,,,,,459860,,,,,,,,,,,,-459860,,,,,,,,,2500000,,,-2500000,-268970,,-268970,2530980,2262010
159304,900128725,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,6614462,3267349,37307,,,,,,58932,,4312,3250036,,-4810541,5594,,788227,-6165,5841613,,,,,,,,17490,,10667,,,,,,,,,-190000,-218157,,,,,,,,,,1704822,-2209951,-3914773,1708683,,1708683,1918929,3627612
159329,860055506,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,4858429,-42753,79787,,,,,,,,,37034,-11061030,,14522414,346409,-15117006,,-6413750,,,,,,,105057,,,,,,,,,,,,-3018903,-2913846,,,,,,10563617,,,541790,,,10021827,694231,,694231,109565,803796
159340,901345200,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,91189,,,,,,,,,,-17,-17,,-885000,,,,,-793828,,,,,,,,,,,,,,,,,,,-33305659,-33305659,6828,,,,,34146272,,,,,,34153100,53613,,53613,0,53613
159352,860067745,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,898317,0,35466,0,0,0,0,-8677,0,0,0,26789,0,-462792,0,581226,69223,0,1112763,0,0,0,0,0,0,0,149608,0,0,0,0,0,0,0,0,0,0,0,-149608,0,0,1376388,0,0,113958,6085,0,0,0,0,-1268515,-305360,0,-305360,3086029,2780669
159396,900513112,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,27357087,254058,,,,,,,,-27983791,,-27729733,,12128333,42825,-3497665,-40939,,8259908,,0,,,,,,,,,,,,,,,,,,0,,,,,,,251004,,,8000000,0,-8251004,8904,,8904,42098,51002
159405,890310455,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-1432754,0,558379,2747,24000,0,0,0,0,0,0,585126,68493,-142752,0,18926,295475,4008983,3401497,0,2371028,0,0,0,0,0,360068,0,180172,0,0,192498,0,0,0,0,0,93450,-3010316,,,,,,,,,,,-536527,-536527,-145346,0,-145346,1493569,1348223
159426,830004408,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,217602,,500962,,93118,,,,,,-169589,424491,-97207,-145081,183106,761332,178170,-159356,1363057,,,,,,,,1261350,,,,,,,,,,,,-1261350,,,,,,,,,,,207125,207125,308832,,308832,834714,1143546
159435,900844808,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,89872,,,,,,,,,,,,,57076,,734985,-117449,,764484,,,,,,,356055,,2812,,,1105664,,,,,,,,-746797,,,,,,,,,,,,,17687,,17687,27081,44768
159459,900227614,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,128452,-70595,,,,1303,,,,,,-69292,,-44026,,,-38255,91,-23030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13646,13646,-9384,,-9384,25440,16056
159464,900799496,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2570664,,31944,,,,,,,,,31944,6617750,-8401030,,398794,-1343354,191825,66593,,,,,,,,122702,,5922,,,,,,,,,,-128624,,,,,,64314,,,,,,64314,2283,,2283,519652,521935
159472,901119808,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2854208,0,0,0,0,0,0,0,0,0,0,0,0,104823,0,-2661296,-15379,-204636,77720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77720,0,77720,573,78293
159481,900630106,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,19758,9811,64635,0,0,0,0,0,0,0,0,74446,0,14632,0,5556892,0,-5470,5660258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,-216820,-216820,5443438,,5443438,291455,5734893
159488,900134609,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,95874,180958,59651,0,0,0,0,0,0,0,0,240609,-17705,-357656,-90000,244204,786621,0,901947,0,0,0,0,0,0,0,10158,0,10702,0,0,0,0,0,0,0,0,0,-20860,0,0,0,0,0,0,0,0,0,0,0,0,881087,,881087,1144556,2025643
159508,890919538,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-17696,,3192,,,,,,,,-55001,-51809,,180688,,-41214,,,69969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45741,-45741,24228,,24228,9091,33319
159544,830007334,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,350588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941105,457455
159575,900254193,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,4759325,90877,,,,,,,4850707,,,-4759830,,,366622,,,-366114,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,1478,1481
159613,900704304,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,642878,-1217,15950,,,,,,,,,14733,,65975,-39932,-854738,-338459,14579,-494964,,,,,,,,,,,,,,,,,,,420394,420394,700000,,,,,,,,,,,700000,625430,,625430,117867,743297
159614,900050745,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,790205,,,,,,,,,,,,0,-1622462,,,153591,,-678666,,,,,91129,,,,,,,,,,,,,,,91129,603235,,,45000,,,,,,,,648235,60698,,60698,399331,460029
159629,900402206,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1810658,,,,912144,,,,,,,912144,,1458995,,-3992380,,,189417,,,,,,,,9356881,,,,,,,,,,,-1020224,-10377105,,,,,,12290655,,,,,,12290655,2102967,,2102967,2183962,4286929
159633,900291850,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1835150,45098,1258302,,,,,,1488776,,,-185376,,,,966679,-126059,,2490394,,1133444,,,,,,,,,,,,,,,,,-247307,-1380751,33444,,,,,,,,840000,298479,,-1105035,4608,,4608,3188,7796
159641,830102702,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,113335,18419,79707,,,,,,,,,98126,,79823,,191328,2853,,485465,,,,,,,,12264,,,,234194,50000,,,,81123,,-370130,-585465,,,,,,,,,,,6773,6773,-93227,,-93227,166418,73191
159647,900423379,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1323640,1044245,3524127,,,,,,,,145904,4714276,42392,-36517,,-565806,,-3602445,1875540,,,,,,,20697,1282589,,,,,,,,,,,-2083503,-3345395,,,,,,1428729,,,,,-16833,1411896,-57959,,-57959,221788,163829
159648,900180801,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2149594,,5955081,,,,,,,589578,2149594,8694253,2470836,-1721494,-5668345,-5183632,2358318,,3099530,,,,,,,,825150,,,,,,,,,,,,-825150,,,,,,,,,2548751,,325291,-2223460,50920,,50920,5020790,5071710
159654,890208946,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2575234,,517126,,,,,,,,-46557,470569,,-139067,,828457,,615804,4350997,,515113,,,,,,2205920,,,,,,,,,,,,-2721033,,,,,,3916,,,700000,,,-696084,,,933880,2843839,3777719
159701,830508260,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1034797,143196,,,,,,,,,-89458,53738,,1374400,1762866,-839,12208267,-75158,16358071,,,,,,16358087,,,,,,,,,,,,,,-16358087,16,,,,,,,,,,,16,0,,0,1202,1202
159721,860039333,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1086884,428182,184119,,,,4919,,43242,,1138587,1712565,401707,1324358,1927320,-4163170,56696,2300169,4646529,,,,,,,,251955,,,,,,,,,,52817,,-199138,,,,,,,,,837662,12099,,-849761,3597630,,3597630,452000,4049630
159726,800064773,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1934987,0,637061,0,0,0,0,0,0,0,-1761906,-1124845,0,0,0,0,0,952893,1763035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-448976,-448976,0,0,0,0,0,0,0,0,0,0,82232,82232,1396291,0,1396291,5494061,6890352
159739,830508263,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1022700,143361,39484,,,,,,,,-108667,74178,,1373532,1801906,2097,12333374,-79862,16527925,,,,,,16358088,,262000,,,,,,,,,,,,-16620088,16,,,,,,,,,,,16,-92147,,-92147,101535,9388
159743,900800041,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,731782,,95792,,448914,,,,,,,544706,,-265613,,580551,,-1057,1590369,,,,,,,,703788,,,,,,,,,,,,-703788,,,,,,,,,,182143,-219775,-401918,484663,,484663,795048,1279711
159745,800063815,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,7216747,,2279497,,,,,,363824,,,1915673,,,-3500646,-3528691,-169538,166706,2100251,,,,,,,,85838,,,,,,,,,,,57524,-28314,,,,,,,,2646947,,,,-2646947,-575010,,-575010,1411361,836351
159748,900071233,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,127383,,951486,,,,,,,,,951486,,2768695,92881,-4711928,-37662,,-809145,,,,,,,,3400,,,,,,,,,,,,-3400,,,,,,3039149,1741309,,,,,1297840,485295,,485295,33442,518737
159772,802011101,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,862790,48615,263226,,,410528,-46371,,,-1862261,,-1186263,,-111201,,346190,-63426,,-151910,,,,,,,,12145,161655,,,,,,,,,149510,,299020,,,,,,,,,,,,,,,-2400,40979,38579
159779,830113706,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3682431,595478,15503654,,444420,,,,,,-1791833,14751719,-294484,6772658,,,,5743822,30656146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30202270,-30202270,453876,,453876,758368,1212244
159798,813007147,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,322513,65000,968101,,69752,,,,,-892834,414317,624336,1522376,-1260501,100675,-2429953,400891,,-719663,,10000,,,,,,611688,,,,,,,,,,,21264,-600424,,,21264,,,1483312,,,,,,1462048,141961,,141961,56944,198905
159809,900152603,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1979378,250110,389281,,,-102909,,,,,-2118557,-1582075,,-1824495,-95583,909360,-3550,16506,-600459,,,,2500000,,,,5004599,,,,,,,,,2233296,,,-5271303,,,167498,,,10000000,1326881,,159398,,-2670996,5675227,-196535,,-196535,463954,267419
159822,900556147,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-2319000,42172,1412182,,40816,,,,,,,1495170,77191,2287629,-3670,,2007104,-1203065,2341359,,,,,,,,,,,,,,,,,,,-3070379,-3070379,,,,,,2509946,,,,1068653,,1441293,712273,,712273,2966230,3678503
159825,900374655,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,-849443,,672353,,,,,,,,,672353,-24570,220243,,16570,-21366,,13787,,,,,,,,10300,,,,,,,,,,,,-10300,,,,,,,,,,,-3487,-3487,0,,0,0,0
159847,811004057,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1194518,444215,277887,14430,0,0,0,-561,596665,13286,0,152592,10420,-609701,0,386693,331684,-433784,1032422,,,,,,,,566003,,,,,,,,,,,,-566003,,,,,,11622860,10966430,,500000,372084,,-215654,250765,,250765,348148,598913
159861,811016603,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,653494,53922,106831,,,,,-89052,,,646,72347,73175,-57998,,1031963,-1587,,1771394,,,,1256080,,500000,81203,106831,66501,,,,,,,,,,-15069,-1730276,,,,,,,45793,,,,322246,276453,317571,,317571,94104,411675
159874,900051210,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,517653,,816760,,1050630,,,,,,,1867390,,,,,,,2385043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385043,,2385043,46383,69734
159878,860065726,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,430384,,,,514654,,,,,,-64818,449836,,275493,392369,-221012,,-964022,363048,,,,,,,,21929,,179927,,71776,,,,,,,-348764,-622396,,,,,,197319,,,,,,197319,-62029,,-62029,412919,350890
159894,900035722,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,410211,187494,48620,,,,,,,,,236114,9990734,-7950585,,-8092248,4080074,,-1325700,,,,,,,,,,,,493489,,,,,,,23758,-469731,,,,,,,,1734781,,,,-1734781,-3530212,,-3530212,5394222,1864010
159947,860014285,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1085274,568975,63643,,,,,,,,-32004,600614,37535,-410640,,-416441,,-549129,347213,,,,,,,,43485,,1939,,,,,,,,,,-45424,,,,,,15181,110266,,446184,,,-541269,-239480,,-239480,769852,530372
159950,900451680,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,669814,142900,7873,,,,,,,,,150773,,130764,,74116,-305785,-102778,616904,,36415,,,,,,3877,,,,,,,,,,,6584,-33708,,,,,,,,,568258,,,-568258,14938,,14938,3992,18930
159953,900282413,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,415141,258125,,,,,,,,,,258125,13953566,-3849045,224150,-224889,-3504164,-1459377,5813507,,,,,,,2343583,,,,,,,,,,,,,2343583,,,,,,,8347027,,700000,,,-9047027,-889937,,-889937,1004323,114386
159982,900054920,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,19769,-148362,63777,,,,,,,,,-84585,,-485424,-25941,1161817,-113216,34604,507024,,,,,,,,98455,,,,,,,,,,,,-98455,,,,,,,,,,,,,408569,,408569,113016,521585
