Codigo Instancia,Nit,Fecha Corte,Punto Entrada,Estado Verificación,Periodo,Ingresos de actividades ordinarias,Costo de ventas,Ganancia bruta,Otros ingresos,Gastos de ventas,Gastos de administración,Otros gastos,Otras ganancias (pérdidas),Ganancia (pérdida) por actividades de operación,Ingresos financieros,Costos financieros,"Participación en las ganancias (pérdidas) de subsidiarias, asociadas y negocios conjuntos que se contabilicen utilizando el método de la participación","Ganancia (pérdida), antes de impuestos",Ingreso (gasto) por impuestos,Ganancia (pérdida) procedente de operaciones continuadas,Ganancia (pérdida) procedente de operaciones discontinuadas,Ganancia (pérdida)
156416,819004204,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2257041,118473,2138568,633381,,417588,247789,,2106572,,67242,,2039330,673841,1365489,,1365489
156425,805029605,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1549910,285590,1264320,145882,,1279161,143162,,-12121,540101,104257,,423723,59176,364547,,364547
156425,805029605,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1573785,418141,1155644,861144,,1176767,35676,,804345,159493,303043,,660795,222151,438644,,438644
156456,860517381,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,191166,,191166,0,0,155226,1094,,34846,,,,34846,14348,20498,,20498
156456,860517381,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,410050,,410050,0,0,198680,96486,,114884,,,,114884,7434,107450,,107450
156460,830067768,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,11363307,9216241,2147066,807,,1355590,277860,,514423,519,193667,,321275,197625,123650,,123650
156460,830067768,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,9380055,7282016,2098039,32575,,1298316,182920,,649378,59,162120,,487317,207936,279381,,279381
156488,900070710,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1520347,,1520347,114565,,1256788,14987,,363137,5775402,806219,,5332320,97391,5234929,,5234929
156488,900070710,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,4145465,,4145465,554274,,3978833,5530,,715376,1030372,609257,,1136491,725093,411398,,411398
156501,900319755,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,16132580,7801773,8330807,0,160162,3744496,145703,0,4280446,1517277,27539,,5770184,2027603,3742581,0,3742581
156501,900319755,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,31757539,13735326,18022213,0,317704,5492718,348264,0,11863527,888657,50348,,12701836,5003568,7698268,0,7698268
156597,811033664,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,10850727,2124275,8726452,1996098,1667,4322093,590685,,5808105,,301722,,5506383,-1759604,7265987,,7265987
156597,811033664,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,364860,284143,80717,352861,,1342677,26814,,-935913,,354481,,-1290394,-886625,-403769,,-403769
156601,900555508,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,29648167,18448829,11199338,476517,,1119857,3137627,,7418371,4529,793829,,6629071,2912468,3716603,,3716603
156601,900555508,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,31985540,23963179,8022361,297696,,1404323,286786,,6628948,5752,357067,,6277633,2552379,3725254,,3725254
156603,800173565,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,9437496,3049177,6388319,637950,892526,5583232,134605,,415906,117431,80370,,452967,151868,301099,,301099
156603,800173565,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,8824408,2437717,6386691,944166,772603,4970722,49383,,1538149,98480,182660,,1453969,268165,1185804,,1185804
156613,900568496,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,0,0,2,0,174542,58293,,-232833,99343,,,-121453,25920,-147373,,-147373
156613,900568496,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,0,0,0,0,0,227482,146602,,-374084,53635,,,-320449,0,-320449,,-320449
156636,900131745,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,43258480,33025576,10232904,605624,,7118442,1474357,,2245729,,,,2274360,924013,1350347,,1350347
156636,900131745,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,6379168,872155,5507013,4229797,,4715269,39003,,4982538,,180020,,4812053,2469606,2342447,,2342447
156639,900790291,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2389161,,2389161,0,,33306,62950,,2292905,155766,7847,,2440824,-16689,2457513,,2457513
156639,900790291,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,4360888,,4360888,0,,66054,,,4294834,147022,1472,,4440384,135524,4304860,,4304860
156640,900390077,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,0,0,0,0,2179,0,,-2179,0,758734,,-760913,-250381,-510532,,-510532
156640,900390077,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,0,0,0,0,0,1902,0,,-1902,0,687682,,-689584,-254828,-434756,,-434756
156689,830062860,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,17091455,10537979,6553476,343473,2014605,3605803,,,1276541,1735681,3209226,,-197004,,-197004,,-197004
156689,830062860,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,21166416,12151358,9015058,186469,2395246,3306229,,,3500052,1310895,3508035,,1302912,515949,786963,,786963
156727,860534134,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1625307,884824,740483,34790,589928,,1000,4269803,4454148,,16640,,4437508,58797,4378711,,4378711
156727,860534134,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2483926,1022469,1461457,89937,624514,,773,4225868,5151975,,21851,,5130124,84170,5045954,,5045954
156758,830040752,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,355497,,355497,57467,,282384,44371,,86209,,,,2441072,-4220,2445292,,2445292
156758,830040752,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,279463,,279463,474024,,142210,219042,,392235,,,,392235,99387,292848,,292848
156781,860517144,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,7436611,5337581,2099030,171508,,1476279,820685,,-26426,3287,1091678,,-1114817,11051,-1125868,,-1125868
156781,860517144,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,11936018,7431812,4504206,261964,,2035297,1396287,,1334586,92489,1306389,,120686,-85699,206385,,206385
156783,830074622,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,6246,453252,-447006,9124,,935098,150273,,-1523253,278,420186,,-1943161,-10460,-1932701,,-1932701
156783,830074622,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1343775,844542,499233,19329,,1623836,7535567,,-8640841,1554,1117428,,-9756715,13937,-9770652,,-9770652
156785,900537921,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,974722,-974722,884,,1186125,,,-2159963,0,263515,,-2423478,,-2423478,,-2423478
156785,900537921,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1238898,3173672,-1934774,16477,,178236,,,-2096533,0,115791,,-2212324,1016,-2213340,,-2213340
156794,860070536,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,16681590,2378073,14303517,14226,3005473,8481827,1338716,,1491727,389,739914,,752202,243688,508514,0,508514
156794,860070536,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,16018558,2025828,13992730,23945,3287295,9264499,400931,,1063950,231,693364,,370817,145605,225212,0,225212
156841,900889628,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,80578940,68182793,12396147,178249,8189801,1566136,80949,,2737510,0,535972,,2201538,821385,1380153,0,1380153
156841,900889628,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,59575319,50885428,8689891,136557,4985386,941144,136796,0,2763122,0,586986,,2176136,932624,1243512,0,1243512
156870,800219290,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,35442742,23777753,11664989,1056093,5388229,3234166,339767,984235,4743155,24133,3169198,,1598090,626604,971486,,971486
156870,800219290,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,29241886,19226149,10015737,86273,3827901,3135369,44559,0,3094181,37375,2626397,,505159,24896,480263,,480263
156936,800199606,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,945931,,945931,289801,,148639,80385,,1006708,,,,1006708,25406,981302,,981302
156936,800199606,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2095069,,2095069,229882,,73113,122319,,2129519,,,,2129519,12934,2116585,,2116585
156958,813003421,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2044176,1106516,937660,5328,2767,827469,67,,112685,8916,8895,,112706,48059,64647,,64647
156958,813003421,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1052876,408433,644443,298001,13089,820928,189,,108238,8943,27406,,89775,13247,76528,,76528
156989,860512972,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,150121,,150121,30253,,129281,31456,,19637,2509,,,1286955,62452,1224503,,1224503
156989,860512972,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,144932,,144932,8114083,,207515,24,,8051476,6,,,17829214,28723,17800491,,17800491
157011,900033567,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,17152856,2293087,14859769,383960,12495494,2994100,1697569,,-1943434,1270,2281642,,-4223806,26350,-4250156,,-4250156
157011,900033567,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,18627314,2543414,16083900,26918452,14260867,2056833,15526773,,11157879,6071,3193848,,7970102,45966,7924136,,7924136
157025,800241469,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,40163802,11687521,28476281,3251746,18021759,6750031,5725621,0,1230616,0,0,,1230616,479101,751515,0,751515
157025,800241469,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,35190095,9982592,25207503,2479478,15728848,6355593,4487734,,1114806,,,,1114806,363111,751695,,751695
157046,900242553,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,38215000,33487000,4728000,722000,,1713000,458000,,3279000,1000,1639000,,1641000,503000,1138000,,1138000
157046,900242553,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,36266000,31788000,4478000,954000,,2451000,384000,,2597000,3000,1506000,,1094000,225000,869000,,869000
157053,830139248,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,0,0,496,0,612428,1372627,,-1984559,198806,2270,,-1788023,-33247,-1754776,0,-1754776
157053,830139248,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,0,0,0,107689,0,533474,686237,,-1112022,0,30852,,-1142874,169083,-1311957,0,-1311957
157066,860015576,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,94451411,82360044,12091367,2678248,,3924474,4913421,,5931720,70875,1735600,,4266995,3251935,1015060,,1015060
157066,860015576,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,92919195,82491547,10427648,1223978,,5200407,1082142,,5369077,19341,2975369,,2413049,1569484,843565,,843565
157082,890920431,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,546375,,546375,201022,,616015,89117,,42265,,,,42265,76044,-33779,,-33779
157082,890920431,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,476104,,476104,228606,,371164,261226,,72320,,,,72320,142431,-70111,,-70111
157111,806012020,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,0,0,0,2710000,,144196,286410,,2279394,,,,2279394,10107,2269287,,2269287
157111,806012020,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,0,0,0,1900000,,169329,,,1730671,,,,1730671,8779,1721892,,1721892
157145,900564863,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,8204377,6227728,1976649,10737,997145,241928,45139,,703174,205505,262454,,793653,210528,583125,0,583125
157145,900564863,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,7279950,5178946,2101004,78962,995772,296095,50928,,837171,102088,259777,,679482,233534,445948,0,445948
157157,800242993,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,764962,,764962,2960,,216989,4,,550929,19392,1445,,568876,188056,380820,,380820
157157,800242993,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,821382,,821382,36646,,329524,4583,,523921,3089,1603,,525407,237525,287882,,287882
157190,860090915,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,475839899,445023189,30816710,393116,515816,19157141,2518405,,9018464,942851,3126494,,6834821,3870417,2964404,0,2964404
157190,860090915,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,430413108,399535293,30877815,338051,381920,17502232,1741960,,11589754,669161,2775956,,9482959,5999524,3483435,0,3483435
157197,800142314,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,96000,0,96000,0,0,24254,3,,71743,0,1342,,70401,23232,47169,0,47169
157197,800142314,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,96000,0,96000,0,0,32593,33,,63374,0,2934,,60440,-4295,64735,0,64735
157218,822002258,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,4368748,,4368748,112486,,421186,,-174793,3885255,,,,3885255,39280,3845975,,3845975
157218,822002258,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,3463705,,3463705,412213,,473695,,-178111,3224112,,,,3224112,64650,3159462,,3159462
157227,900775769,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,3321527,3269980,51547,3,,17745,,2,33807,,,,33807,12691,21116,,21116
157227,900775769,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,558,,558,719,,,,,1277,,,,1277,,1277,,1277
157230,860352933,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,125511,,125511,22650,,76798,,,71363,,418881,,-347518,583713,-931231,,-931231
157230,860352933,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,135565,,135565,53534,,78266,,,110833,,597782,,-486949,600282,-1087231,,-1087231
157237,900528321,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2815534,1414023,1401511,878358,,168504,3505,,2107860,392846,60950,,2439756,140329,2299427,,2299427
157237,900528321,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2098195,768136,1330059,0,,160539,561345,,608175,130175,48583,,689767,109365,580402,,580402
157246,800204486,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,52960996,38565526,14395470,933242,6396270,1969402,960544,,6002496,345905,350458,,5942611,2135384,3807227,,3807227
157246,800204486,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,49681501,36756788,12924713,567666,5346346,1687179,942445,,5516409,374605,266542,,5624472,2263772,3360700,,3360700
157248,900268240,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2520,0,2520,0,0,33552,27028,,-58060,0,0,,1838549,18534,1820015,,1820015
157248,900268240,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2400,0,2400,27,0,32631,27028,-10,-57242,0,0,,1471279,40804,1430475,,1430475
157263,890100248,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,37667320,32843850,4823470,7578087,,3498961,3261378,,5641218,2583806,3315247,,4909777,72343,4837434,,4837434
157263,890100248,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,53020019,49234327,3785692,799209,,7475019,15021091,,-17911209,2348616,3913065,,-19475658,823917,-20299575,,-20299575
157288,900318972,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1002111,717496,284615,0,4,202735,0,,81876,86,82,,81880,0,81880,0,81880
157288,900318972,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1426497,1107001,319496,0,211,247584,2413,,69288,4111,625,,72774,0,72774,0,72774
157298,890917620,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,768574,,768574,11719,,878628,12835,,-111170,2000,15193,,-124363,53474,-177837,,-177837
157298,890917620,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,688999,,688999,983,,846103,16785,,-172906,4278,18872,,-187500,128444,-315944,,-315944
157333,800230032,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2034500,,2034500,4,,550137,3,,1484364,5357,6971,,1485269,503114,982155,,982155
157333,800230032,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1416638,,1416638,4,,497819,2172,,916651,2050,11939,,931952,323872,608080,,608080
157350,860531015,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1606741,8619,1598122,73015,1139930,783489,20166,-167655,-440103,62630,68192,,-596340,-489783,-106557,,-106557
157350,860531015,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1545608,8981,1536627,20539,761712,1273210,35623,,-513379,11109,66517,,-457833,-17557,-440276,,-440276
157356,900256875,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,657372,0,657372,143671,0,333603,17789,,449651,31640,,,481291,50399,430892,135609,566501
157356,900256875,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,718163,0,718163,46799,0,509683,24275,,231004,30171,,,261175,88160,173015,1465193,1638208
157370,860043809,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2048662,1388128,660534,338227,,759933,41819,,197009,1042205,42534,,2084497,25184,2059313,,2059313
157370,860043809,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2018110,1474330,543780,408260,,823895,23526,,104619,3412288,26985,,3489922,101380,3388542,,3388542
157374,900345780,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2547130,,2547130,10166,,2229123,,,328173,21952,361691,,747667,9405,738262,,738262
157374,900345780,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2544841,,2544841,921768,,1821674,,,1644935,67587,201132,,1511390,159958,1351432,,1351432
157404,890307617,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1678452,,1678452,372735,,1328044,,,723143,7312,10364,,720091,159767,560324,,560324
157404,890307617,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,320385,,320385,306680,,233371,,,393694,3076,2294,,394476,62797,331679,,331679
157417,890940567,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,9968956,6063080,3905876,329663,2027949,1278954,712759,,215877,,,,189340,85222,104118,,104118
157417,890940567,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,8991409,5554170,3437239,227440,1926297,1132716,600158,,5508,,,,-71243,199444,-270687,,-270687
157448,900447148,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,22339,,22339,2604,,23863,200572,,-199492,28261,,,-171231,10214,-181445,,-181445
157448,900447148,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1211613,,1211613,106836,,1294009,11641,,12799,19924,,,32723,15503,17220,,17220
157467,890212868,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,76694935,68420635,8274300,1440365,1309654,4423042,338387,,3643582,11022,1714810,,2839597,808301,2031296,,2031296
157467,890212868,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,69759278,61991118,7768160,437733,1645736,5223792,274607,,1061758,3513,1465723,,899034,103926,795108,,795108
157470,890207947,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1463188,809387,653801,82119,139070,629430,64455,,-97035,563,20714,,80037,13786,66251,,66251
157470,890207947,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1593838,887833,706005,13879,134637,609115,55251,,-79119,28838,14009,,290434,61604,228830,,228830
157476,800002143,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,24855587,10524437,14331150,205393,1135738,7374429,322553,,5703823,397473,525491,,5716996,2045100,3671896,,3671896
157476,800002143,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,22094956,10454630,11640326,506665,813040,6559790,353904,,4420257,362901,643858,,4139300,1577276,2562024,,2562024
157490,860000762,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,161524604,115158339,46366265,5110011,35095633,18305395,687525,25561065,22948788,1993808,6505561,,18493110,-803727,19296837,,19296837
157490,860000762,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,161951684,113750526,48201158,34252,34961800,18770906,530777,2707183,-3320890,1685744,6501584,,-8136730,-2725906,-5410824,,-5410824
157491,890212357,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,4619524,3690598,928926,34355,491191,646963,50296,,-225169,206564,32651,,17746,-6629,24375,,24375
157491,890212357,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,5219740,3759779,1459961,31199,518571,608242,5868,,358479,207460,39416,,593825,181957,411868,,411868
157508,800155500,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,13682405,12242045,1440360,305930,114405,490251,28198,,1113436,37968,246402,,905002,288501,616501,,616501
157508,800155500,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,15160273,13658122,1502151,170454,142212,435430,135494,,959469,41980,224623,,776826,305778,471048,,471048
157549,890920936,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1352324,,1352324,164163,,732140,31023,,753324,5110,303362,,455949,127726,328223,,328223
157549,890920936,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1393684,,1393684,57127,,703729,167614,,579468,4375,357418,,235197,80640,154557,,154557
157581,830055550,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1517711,1248061,269650,157268,,232216,109036,,85666,,,,85666,27649,58017,,58017
157581,830055550,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,1293365,1403148,-109783,39624,,422255,79001,,-571415,,,,-571415,,-571415,,-571415
157595,900521271,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,14381385,11945685,2435700,443420,466233,1233979,,0,1178908,,305199,,873709,401389,472320,,472320
157595,900521271,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,15016784,12063820,2952964,584497,271325,1583813,,,1682323,,410655,,1271668,519095,752573,,752573
157599,800005972,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,14681524,10869608,3811916,509847,1431675,1123566,253297,0,1513225,,77004,,1436221,490000,946221,,946221
157599,800005972,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,13462315,10025602,3436713,420368,1254961,1135269,360576,,1106275,,73263,,1033012,400000,633012,,633012
157612,900402027,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,255362,,255362,688515,1265,65862,807,,875943,2535,69764,,808714,228285,580429,,580429
157612,900402027,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,242570,,242570,143083,1373,54341,576,,329363,12979,76200,,266142,128721,137421,,137421
157618,830116500,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,8842905,7362679,1480226,422317,,806764,431200,,664579,,242062,,422517,133802,288715,,288715
157618,830116500,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,8510121,6589527,1920594,284371,,1285317,229210,,690438,,224800,,465638,69714,395924,,395924
157638,900414477,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,231590,,231590,8,,22073,60044,,149481,1509,,,452689,60707,391982,,391982
157638,900414477,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,14657,,14657,200979,,35808,82118,,97710,5239,,,34354,,34354,,34354
157654,900902534,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,8215066,1160483,7054583,0,,286928,134423,,6633232,506652,243637,,6922627,2746271,4176356,,4176356
157654,900902534,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,6561992,1983854,4578138,10,,417633,111845,,4048670,11225,178239,,4080390,-81539,4161929,,4161929
157660,800138563,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,122187,,122187,2,,71161,50901,,127,,,,830321,64417,765904,,765904
157660,800138563,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,54687,,54687,5,,52400,37247,,-34955,,,,656613,18488,638125,,638125
157686,900050847,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,868930,,868930,2,,44475,2237,,822220,174,80014,,744560,263760,480800,,480800
157686,900050847,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,643784,,643784,38,,44881,66109,,532832,617,21415,,533829,213416,320413,,320413
157715,860055912,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,14952763,12930934,2021829,135621,,1687409,18739,,451302,,319008,,132294,82105,50189,,50189
157715,860055912,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,9294473,7524061,1770412,278664,,1383474,16524,,649078,,453021,,196057,92544,103513,,103513
157726,802015564,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,16451317,7152163,9299154,0,,6703448,0,-753129,1842577,3207,187448,,1658336,,1658336,,1658336
157726,802015564,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,11533381,5987588,5545793,30132,,2594419,1837509,,1143997,311,178920,,965388,,965388,,965388
157788,890919436,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,21688191,14970519,6717672,133604,2558212,1677127,223816,,2392121,541880,633239,,2300762,870663,1430099,0,1430099
157788,890919436,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,18159104,12280937,5878167,221366,2419106,1794062,336089,,1550276,569522,410579,,1709219,677788,1031431,,1031431
157792,900673904,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,1126719,0,1126719,3401,12664,821184,8333,,287939,0,1857,,388374,135749,252625,,252625
157792,900673904,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,874370,0,874370,127427,19669,735709,12959,,233460,0,2431,,231029,78659,152370,,152370
157824,900403279,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,381317,,381317,82249,,171534,55616,,236416,2657627,3123411,,-229368,165563,-394931,,-394931
157824,900403279,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,23890802,,23890802,3,,371027,697,,23519081,2213034,1197250,,24534865,762273,23772592,,23772592
157842,890911625,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,150129559,108516234,41613325,0,20866501,5100457,170430,165708,15641645,,2686043,,13001099,3877292,9123807,,9123807
157842,890911625,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,123874673,89614591,34260082,1045388,17672029,4811580,,,12821861,,2847995,,9973866,2624892,7348974,,7348974
157868,900370766,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,16121033,12440406,3680627,676,0,2183767,69701,0,1427835,0,185273,,1242562,454100,788462,0,788462
157868,900370766,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,11750187,9899241,1850946,5,0,687756,17711,,1145484,0,157264,,988220,348237,639983,0,639983
157888,811009784,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,29208557,28736566,471991,452674,,2149273,140726,,-1365334,116856,95560,,-1395371,107775,-1503146,,-1503146
157888,811009784,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,27165800,26652752,513048,1294874,,2253365,113473,,-558916,197823,21757,,-296182,-751840,455658,,455658
157889,900640306,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2823848,2550802,273046,937835,183274,595533,941105,0,-509031,1686,0,,-507345,-86939,-420406,0,-420406
157889,900640306,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2878340,2126730,751610,599869,333440,592402,148016,0,277621,4659,0,,282280,177145,105135,0,105135
157894,900266895,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Actual,2835199,2616911,218288,55742,,595326,12566,,-333862,37533,2592,,-283380,-20102,-263278,,-263278
157894,900266895,12/31/2019,50 NIIF Pymes - Separados,V,Periodo Anterior,2464227,2437819,26408,139238,,253710,6125,,-94189,72381,3011,,39794,-21900,61694,,61694
