Codigo Instancia,Nit,Fecha Corte,Punto Entrada,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente","Activos biológicos corrientes, al costo menos depreciación acumulada y deterioro de valor","Activos biológicos corrientes, al valor razonable",Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,"Propiedades, planta y equipo",Propiedades de inversión al costo menos depreciación acumulada y deterioro,Propiedades de inversión a valor razonable con cambios en resultados,Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones en subsidiarias,Inversiones en asociadas,Inversiones en negocios conjuntos,"Activos biológicos no corrientes, al costo menos depreciación acumulada y deterioro del valor","Activos biológicos no corrientes, al valor razonable",Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Préstamos corrientes,Parte corriente de préstamos no corrientes,Otros pasivos no financieros corrientes,Total pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Parte no corriente de préstamos no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Patrimonio total,Total de patrimonio y pasivos
153946,900796705,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,513836,94106,,7380,,,,,,,,615322,,2498578,,,,256300,,,,,,,,,,5412538,,8167416,8782738,,,,7356,7498,85276,85276,,,,,100130,,,,882612,,,,,,882612,982742,1324999,144200,,,,0,341787,5989010,7799996,8782738
153946,900796705,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,762340,,,,,,,,,,,762340,,2146027,,,,256300,,,,,,,,,,5055717,,7458044,8220384,,,,240654,19279,,,,,,,259933,,,,454105,,,,,,454105,714038,1324999,,,,,0,244908,5936439,7506346,8220384
153990,800017935,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,3890,18898230,,129752,,,667993,11154,,,,19711019,,,,,747019,116579648,20950541,,,,,,,,,,,138277208,157988227,,,,15747,8272,,,,,,,24019,,,,528564,,,,,,528564,552583,8000000,,,,59391958,,73925605,16118081,157435644,157988227
153990,800017935,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,8333,19761756,,,,,668466,8993,,,,20447548,,,,,1127490,109944108,20950541,,,,,,18978,,,,,132041117,152488665,,,,11360,133256,,,,,,,144616,,,,503629,,,,,,503629,648245,8000000,,,,58425331,,72533027,12882062,151840420,152488665
154009,900087602,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,67589,248630,,57054,,,,467,,,,373740,4656778,,,,,,13295825,,,,,,,,,,,17952603,18326343,,,,1880016,3609,750000,750000,,,,,2633625,,,,,,,3355115,3355115,,3355115,5988740,2965000,,,,,5728200,2720,3641683,12337603,18326343
154009,900087602,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,6363,1706157,,,,,,454,,,,1712974,4716024,,,,,,11863178,,,,,,,,,,,16579202,18292176,,,,2691170,419173,750000,750000,,,,,3860343,,,,,,,4106063,4106063,,4106063,7966406,2965000,,,,,5728200,2720,1629850,10325770,18292176
154013,900511117,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,919781,994585,,51383,,,,,,,,1965749,,,15158310,,,,6905229,,,,,,8716,,492000,230,,22564485,24530234,,,,817015,40869,214285,214285,,,,,1072169,,,,7424367,52191,,982143,982143,215356,8674057,9746226,11300000,,,,,,256162,3227846,14784008,24530234
154013,900511117,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,704282,3166907,,,,,,,,,,3871189,,,15650310,,,,5503800,,,,,,4460,,,1000230,,22158800,26029989,,,,744980,68347,214285,214285,,,,,1027612,,,,8677683,108378,,1196430,1196430,29240,10011731,11039343,11300000,,,,,,94465,3596181,14990646,26029989
154028,830140722,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,144007,2124390,,12042,,,,,,,,2280439,,,12542598,,,,11546072,,,,,,57176,,2706142,,,26851988,29132427,,,,353307,61233,,,,,,,414540,,,,,3534,,,,,3534,418074,15450000,,,,,,2476336,10788017,28714353,29132427
154028,830140722,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,213246,3473080,,37696,,,,,,,,3724022,,,12542598,,,,10444500,,,,,,95630,1100000,2706142,,,26888870,30612892,,,,843086,103014,,,,,,,946100,,,,,,,,,,,946100,15450000,,,,,,2365555,11851237,29666792,30612892
154082,860511496,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,24061,419418,,14769,,,,10677,,,,468925,,14421397,,,,,679341,,,,,,,,,,,15100738,15569663,,,,107833,14171,,,,,,,122004,,,,,2214336,,,,,2214336,2336340,32873,1550008,,,,,7181,11643261,13233323,15569663
154082,860511496,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,23836,505866,,11089,,,,0,,,,540791,,14488873,,,,,664024,,,,,,,,,,,15152897,15693688,,,,181559,20254,,,,,,,201813,,,,,2236604,,,,,2236604,2438417,32873,1550008,,,,,7181,11665209,13255271,15693688
154088,900566468,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,2238,339000,,3661,,,,,,,,344899,,,,,,,3790000,,,,,,,,,110486,,3900486,4245385,,,,6991,0,25761,25761,,,,,32752,,,,,,,,,,,32752,323500,3888181,,,,,,952,4212633,4245385
154088,900566468,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,2238,339000,,3075,,,,,,,,344313,,,,,,,3790000,,,,,,,,,91722,,3881722,4226035,,,,1684,7434,4284,4284,,,,,13402,,,,,,,,,,,13402,323500,3888181,,,,,,952,4212633,4226035
154095,860004625,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,954351,543819,7435870,183565,,,,,,,,9117605,1417812,,7480280,,,,4102047,2172145,,,910237,,1058971,,1830785,,,18972277,28089882,41938,,41938,1913778,74676,,,,1757017,,,3787409,,,,8129792,772947,,0,,929540,9832279,13619688,641817,,,,,,2775346,11053031,14470194,28089882
154095,860004625,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,224303,586554,7839246,200904,,,,,,,,8851007,1310259,,6321435,,,,4199651,4308699,,,4036713,,330141,,,,,20506898,29357905,54394,,54394,884883,120411,,,,3719142,,,4778830,,,,9786889,98424,,,,,9885313,14664143,641817,,,,,,2775346,11276599,14693762,29357905
154121,900436549,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,253249,80172,,61279,,,,,,,,394700,1742887,192679,,,,,36400246,,,,2129600,,,,,,,40465412,40860112,,,,27162,18194,,,,,,,45356,,,,2929733,153534,,,,,3083267,3128623,3302003,,,,,,14484590,19944896,37731489,40860112
154121,900436549,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,98360,80000,,0,,,,,,,,178360,1887043,,,,,,34867431,,,,3082654,,,,,,,39837128,40015488,,,,291,26359,,,,,,,26650,,,,2895858,121217,,,,,3017075,3043725,3302003,,,,,,13871473,19798287,36971763,40015488
154218,800045311,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,4072639,6912255,2114305,,,,,,,,,13099199,93289,,3111797,,2174894,,,,,,,,,,,,,5379980,18479179,,,,1321671,132920,,,,64449,,,1519040,,,,12035537,161485,,,,,12197022,13716062,1410000,,,,1734389,,1911428,-292700,4763117,18479179
154218,800045311,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,2069172,6192000,2437740,,,,,,,,,10698912,77588,,1642756,,2136866,,,,,,,,690245,,,,,4547455,15246367,,,,1412255,84565,,,,59116,,,1555936,,,,12035537,,,,,,12035537,13591473,1410000,,,,1734389,,1787516,-3277011,1654894,15246367
154228,900447782,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,32394,1547371,,418031,,,,130606,,,,2128402,,179527760,,,,,10811523,,,,11593243,,,,,,,201932526,204060928,,,,361372,411038,7296399,7296399,,203213,,,8272022,,,,37927772,8125644,,71664470,71664470,,117717886,125989908,12250,59326053,,,,,20694439,-1961722,78071020,204060928
154228,900447782,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,655722,1262339,,2054699,,,,299458,,,,4272218,,153735239,,,,,10348523,,,,11026140,,96178,,,295862,,175501942,179774160,,,,1165977,825059,6474227,6474227,,4000,,,8469263,,,,38070155,4783714,,59464818,59464818,,102318687,110787950,11250,47330413,,,,,20694439,950108,68986210,179774160
154251,811012321,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,605202,1612425,3512424,340554,,,,26507,,,,6097112,21254157,,2727093,,509247,,70000,,,,,,11380,,,,,24571877,30668989,168574,,168574,1719001,336892,,,,686233,,,2910700,,,,,1673190,,4797976,4797976,,6471166,9381866,2000000,,,,,,173542,19113581,21287123,30668989
154251,811012321,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,324443,2518600,3006574,680093,,,60000,,,,,6589710,21538588,,2727093,,83179,,,,,,,,21732,,,,,24370592,30960302,158565,,158565,1274574,650624,,,,547712,,,2631475,,,,,1673190,,5387261,5387261,,7060451,9691926,2000000,,,,,,173542,19094834,21268376,30960302
154262,900321419,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,2033882,8050476,11835004,,,,,,,,,21919362,1528877,,,,106792,2197177,30000,,,,3955330,,,,,46851,,7865027,29784389,297500,,297500,13403098,929092,2215584,2215584,,14059,,,16859333,0,0,0,0,0,0,2489111,2489111,405026,2894137,19753470,4295000,,,,111329,264572,1285365,4074653,10030919,29784389
154262,900321419,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,1640746,6223938,11910225,,,,,,,,,19774909,1578812,,,,110792,2176056,30000,,,,5164332,,,,,50462,,9110454,28885363,267428,,267428,8744785,1253504,3887546,3887546,,127159,,,14280422,,,,,,,725695,725695,460205,1185900,15466322,4295000,,,,111329,264572,1264243,7483897,13419041,28885363
154283,900260267,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,10819796,28163774,,477366,,,9520099,1400012,,,,50381047,4325196,8022578,,,,3406078,,,,,12509560,1961812,443096,,,,,30668320,81049367,,,,327388,,12165527,12165527,,70185,,,12563100,,,,4485526,295885,,10068208,10068208,,14849619,27412719,500000,,52900,,,,,53189548,53636648,81049367
154283,900260267,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,8032802,6237605,64197,258252,,,6961976,11636,,,,21566468,4473545,8102946,,,,6894406,,,,,27939940,1884486,526620,,,,,49821943,71388411,,,,337941,,23439265,23439265,,38696,,,23815902,,,,2122488,201852,,2646981,2646981,,4971321,28787223,500000,,52900,,,,,42154088,42601188,71388411
154336,900225474,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,388766,7668239,3929553,1996994,,,3147471,13749,,,,17144772,29676826,,,,40813,,,,,,,,,,,,,29717639,46862411,174963,,174963,8760970,1109596,4512643,4512643,,,,,14558172,,,,2612618,769229,,10361969,10361969,,13743816,28301988,7500000,,,,,6923060,853500,3283863,18560423,46862411
154336,900225474,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,240914,6363907,3735975,1705991,,,3147471,,,,,15194258,26501655,,,,138744,,,,,,,,,,,,,26640399,41834657,201890,,201890,5831988,998852,2825558,2825558,,,,,9858288,,,,4263345,769229,,9821249,9821249,,14853823,24712111,7500000,,,,,6923060,696487,2002999,17122546,41834657
154348,826000089,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,569934,4387076,1018298,82290,,,,1925942,,,,7983540,18745623,,,,,13575029,,,,,,,,,825500,,,33146152,41129692,407622,,407622,4511464,,,,,673661,,,5592747,,,,,691143,530932,3887396,3887396,1393329,6502800,12095547,1800000,9600000,,,,6088001,922135,10624009,29034145,41129692
154348,826000089,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,623338,4619131,1526416,79800,,,,354010,,,,7202695,18055818,,,,,13575029,,,,,,,7843,,825500,,,32464190,39666885,341928,,341928,4071541,,,,,411523,,,4824992,,,,,698561,524684,4058471,4058471,1322642,6604358,11429350,1800000,9600000,,,,6088001,922135,9827399,28237535,39666885
154380,900188602,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,6735494,2685540,,707262,,,256902,,,,,10385198,4464124,,,,,,,,,,,,,,,,,4464124,14849322,60034,,60034,204783,471400,0,,,,,0,736217,,,,98609,,,,,,98609,834826,375000,,,,2657724,679221,187500,10115051,14014496,14849322
154380,900188602,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,5094825,2785488,,421358,,,85049,,,,,8386720,4180403,,,,,,,,,,,,,,,,,4180403,12567123,114413,,114413,1050810,578192,,,,,,,1743415,,,,141631,,,,,,141631,1885046,375000,,,,4514848,323869,187500,5280860,10682077,12567123
154399,830035402,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,28028,2187983,420871,,,,,,,,,2636882,4112723,,,,,1006979,,,,,,,,,,,,5119702,7756584,425198,,425198,1059020,543083,881081,581091,299990,25253,,,2933635,,,,2003767,,,1314594,1314594,,3318361,6251996,400000,,,,,,201000,903588,1504588,7756584
154399,830035402,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,159690,2639999,358146,,,,,,,,,3157835,4142196,,,,,1006979,,,,,,,,,,,,5149175,8307010,234434,,234434,1128537,391740,955225,690115,265110,33306,,,2743242,,,,2201133,,,2009636,2009636,,4210769,6954011,400000,,,,,,201000,751999,1352999,8307010
154414,830017238,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,606491,13206097,6193139,11229,,,137882,1230758,,,,21385596,1084647,,,,1419351,,,,,,358385,,28417,,,,,2890800,24276396,374110,27412,401522,2771232,531816,609,,609,75191,,,3780370,,,,0,,,167752,167752,,167752,3948122,550000,2694,,,2824733,,366444,16584403,20328274,24276396
154414,830017238,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,2353978,11911630,3972361,8124,0,0,82367,1366784,,,,19695244,1090787,,,,248156,,,,,,199743,,124327,,,,,1663013,21358257,440660,,440660,1934810,1281497,3854,,3854,68057,,,3728878,,,,6036,,,213265,213265,,219301,3948179,550000,2694,,,2824733,,278322,13754329,17410078,21358257
154440,900266641,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,10593953,12804202,1836536,1135887,,,42677,306512,,,,26719767,14699,,,,,,,,,,,,55643,,791,22940,,94073,26813840,384488,,384488,20994519,,,,,95722,,,21474729,,,,,,,,,,,21474729,12247,,,7476225,,,,-2149361,5339111,26813840
154440,900266641,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,5932379,12575609,589035,998384,,,54544,345384,,,,20495335,26456,,,,,,,,,,,,8194,,872,22940,,58462,20553797,315569,,315569,14301810,,,,,1023138,,,15640517,,,,,,,,,,,15640517,12247,,,7476225,,,,-2575192,4913280,20553797
154456,860513360,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,3449612,16320798,10531374,,,,789326,,,,,31091110,12591914,,1234859,,3446,,,,,,,,107485,,,,,13937704,45028814,238335,,238335,2629856,728703,1889164,1889164,,1064433,,,6550491,,,,,48130,,1805117,1805117,,1853247,8403738,2338573,4949937,,,,25269679,759993,3306894,36625076,45028814
154456,860513360,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,1056317,9141913,7674638,,,,467875,,,,,18340743,35666921,,3618288,,,,,,,,,,5009,,,,,39290218,57630961,182982,,182982,4351211,1035263,1772139,1772139,,14226669,,,21568264,,,,,54498,,733333,733333,,787831,22356095,2338573,4949937,,,,25269679,759993,1956684,35274866,57630961
154475,900226247,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,2024855,286553,1652250,19228,,,,413794,,,,4396680,192636,,,,,,,340967,,,,,,,,698256,,1231859,5628539,42153,,42153,369051,54352,,,,,,,465556,,,,,7035,,298123,,1422260,1727418,2192974,2040000,,,,,,146181,1249384,3435565,5628539
154475,900226247,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,130130,,2505054,6155,,,,328837,,,,2970176,290466,,,,,,,,,,,,,,,726346,,1016812,3986988,27297,,27297,205057,52011,,,,,,,284365,,,,,3555,,485742,,92106,581403,865768,2040000,,,,,,146181,935039,3121220,3986988
154483,900983812,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,1036838,3787933,,1999,,,,,,,,4826770,,,,,,40504409,,,,,,,,,,,,40504409,45331179,,,,13467777,1873,,,,,,,13469650,,,,25384612,,,,,,25384612,38854262,50000,,,,,,25000,6401917,6476917,45331179
154483,900983812,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,11050,2195958,,,,,,,,,,2207008,,,,,,32383687,,,,,5003,,,,,,,32388690,34595698,,,,4144928,109985,,,,,,,4254913,,,,24850025,,,,,,24850025,29104938,50000,,,,,,25000,5415760,5490760,34595698
154493,860029022,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,19649151,31031876,26798055,196119,,,289404,,,,,77964605,49813832,,,,922630,287259,2411549,,,,1496372,,110595,,5,,,55042242,133006847,483251,,483251,12500204,5639834,,,,,,,18623289,318730,,318730,3000000,371989,,,,,3690719,22314008,2000000,,,,,,64141166,44551673,110692839,133006847
154493,860029022,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,13043293,19562804,23647237,81214,,,244994,,,,,56579542,46496387,,,,976326,280091,2411549,,,,1496372,,2358,,5,,,51663088,108242630,627283,,627283,10103830,3788717,,,,,,,14519830,310437,,310437,6000000,446947,,,,,6757384,21277214,2000000,,,,,,47940949,37024467,86965416,108242630
154494,890912810,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,41477,3921592,,764,,,218605,,,,,4182438,1340878,2062933,,,,,3169976,,,,,,,,,1232780,,7806567,11989005,28724,,28724,136383,,,,,,,,165107,,,,,316244,,,,,316244,481351,220000,,,,,5156053,110000,6021601,11507654,11989005
154494,890912810,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,7333,4753076,,,,,34111,,,,,4794520,1361180,2071836,,,,,2965140,,,,,,,,,1232780,,7630936,12425456,1493,,1493,533775,16788,,,,,,,552056,,,,,295760,,,,,295760,847816,220000,,,,,4951217,110000,6296423,11577640,12425456
154568,811001017,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,13846,,218718,34867,0,0,0,57007,,,,324438,0,0,0,0,0,,2499440,,0,0,2375624,0,1834277,0,0,0,,6709341,7033779,0,0,0,1138,445,0,0,0,0,,0,1583,0,0,0,6509704,415867,0,,,154423,7079994,7081577,1100000,4716,0,0,2501234,0,100815,-3754563,-47798,7033779
154568,811001017,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,36939,,269616,54919,0,0,0,0,,,,361474,53399,0,,0,0,0,2817517,0,0,0,2334931,0,1827206,0,0,0,,7033053,7394527,0,,0,232746,18,0,0,0,0,,0,232764,0,0,0,6506546,514117,0,,,156344,7177007,7409771,1100000,4716,0,0,2798963,0,100815,-4019738,-15244,7394527
154570,830081738,6/30/2019,50 NIIF Pymes - Separados,Periodo Actual,14282,13067591,,,,,,,,,,13081873,,,,,,,110763594,,,,,,2794055,,,,,113557649,126639522,,,,19899,19800,,,,,,,39699,,,,,,,,,,,39699,12268163,95508265,,,,,6165471,12657924,126599823,126639522
154570,830081738,6/30/2019,50 NIIF Pymes - Separados,Periodo Anterior,31304,3746425,,,,,,7331,,,,3785060,,,,,,,110763594,,,,,,2794055,,,,,113557649,117342709,,,,1285,19102,,,,,,,20387,,,,,,,,,,,20387,12268163,95508265,,,,,6196608,3349286,117322322,117342709
154572,830081738,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,57632,3782116,,,,,,10995,,,,3850743,,,,,,,110763594,,,,,,2794055,,,,,113557649,117408392,,,,1269,408,,,,,,,1677,,,,,,,,,,,1677,12268163,95508265,,,,,6241849,3388438,117406715,117408392
154572,830081738,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,14282,13067591,,,,,,,,,,13081873,,,,,,,110763594,,,,,,2794055,,,,,113557649,126639522,,,,19899,19800,,,,,,,39699,,,,,,,,,,,39699,12268163,95508265,,,,,6165471,12657924,126599823,126639522
154573,900339779,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,4061141,452130,10745911,955727,,,,103608,,,,16318517,520259,,,,,,,,,,1311633,,88473,,,,,1920365,18238882,11079,,11079,62112,5884,,,,,,,79075,,,,16609936,,,2005034,2005034,3267372,21882342,21961417,2000,727810,,,,,,-4452345,-3722535,18238882
154573,900339779,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,1001816,725471,13783559,990974,,,,,,,,16501820,520259,,,,,,,,,,239644,,120590,,,,,880493,17382313,12463,,12463,90063,109358,,,,,,,211884,,,,12481048,152573,,1986290,1986290,3347395,17967306,18179190,2000,727810,,,,,,-1526687,-796877,17382313
154592,900425189,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,321460,,,,,,,,,,,321460,,2488859,,,,,26924397,,,,14079431,,,,,,,43492687,43814147,,,,15,53620,,,,,,,53635,,,,5243104,,,,,,5243104,5296739,50300,2918504,,,,,11332447,24216157,38517408,43814147
154592,900425189,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,352,25000,,,,,,,,,,25352,,,,,,,25763897,,,,11205478,,,,,,,36969375,36994727,,,,3,2688,,,,,,,2691,,,,414617,,,,,,414617,417308,50300,2918504,,,,,11307247,22301368,36577419,36994727
154595,890204134,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,1829592,24022460,21541188,,,,28650292,73552,,,,76117084,10532495,,5859731,,88481,,2745013,,,,,,,,2276,,,19227996,95345080,843542,,843542,13068450,1968789,7190171,6977000,213171,,,,23070952,,,,,1186258,,10300500,10300500,,11486758,34557710,2500000,4210182,,,25415745,1110052,1366500,26184891,60787370,95345080
154595,890204134,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,1136109,26517878,21071711,691124,,,3795170,33018,,,,53245010,10557746,,12101507,,0,,2745013,,,,,,,,2276,,,25406542,78651552,746634,,746634,15375875,2524105,1553335,,1553335,,,,20199949,,,,,1698805,,,,,1698805,21898754,2500000,4210182,,,25415745,1265143,926500,22435228,56752798,78651552
154607,830081739,6/30/2019,50 NIIF Pymes - Separados,Periodo Actual,13535,13061950,,,,,,,,,,13075485,,,,,,,110761595,,,,,,2794007,,,,,113555602,126631087,,,,19842,19789,,,,,,,39631,,,,,,,,,,,39631,12268221,95508206,,,,,6157711,12657318,126591456,126631087
154607,830081739,6/30/2019,50 NIIF Pymes - Separados,Periodo Anterior,30503,3741802,,,,,,6894,,,,3779199,,,,,,,110761595,,,,,,2794007,,,,,113555602,117334801,,,,1358,19041,,,,,,,20399,,,,,,,,,,,20399,12268221,95508206,,,,,6188288,3349687,117314402,117334801
154611,830081739,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,58941,3757163,,19308,,,,10341,,,,3845753,,,,,,,110761595,,,,,,2794007,,,,,113555602,117401355,,,,1344,408,,,,,,,1752,,,,,,,,,,,1752,12268221,95508206,,,,,6233600,3389576,117399603,117401355
154611,830081739,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,13535,13025957,,35993,,,,,,,,13075485,,,,,,,110761595,,,,,,2794007,,,,,113555602,126631087,,,,19842,19789,,,,,,,39631,,,,,,,,,,,39631,12268221,95508206,,,,,6157711,12657318,126591456,126631087
154633,820005548,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,542064,211540,,,,,,,,,,753604,31870,,,,,,,1263281,,,,,,,,,,1295151,2048755,,,,31636,,655388,14237,641151,,,,687024,,,,,,,,,,,687024,600000,,,,,,83163,678568,1361731,2048755
154633,820005548,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,15420,2004259,,,,,,,,,,2019679,10970,,,,,,,273754,,,,,,,,,,284724,2304403,,,,,9440,1119095,22365,1096730,,,,1128535,,,,,,,,,,,1128535,600000,,,,,,83163,492705,1175868,2304403
154656,900676221,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,2071,197030,,59023,,,,,,,,258124,,,,,,61935574,,,,,22923,,874,,,,,61959371,62217495,,,,,,198711,198711,,5,,,198716,,,,59614756,,,,,,59614756,59813472,807754,4085597,,,,,403877,-2893205,2404023,62217495
154656,900676221,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,35064,,,46927,,,,,,,,81991,,,,,,53718863,,,,,20380,,,,,,,53739243,53821234,,,,,,705,,,,,,705,,,,59614952,,,,,,59614952,59615657,807754,4085597,,,,,403877,-11091651,-5794423,53821234
154677,811007293,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,0,5491021,,,,,,,,,,5491021,,,,,,,6278610,,,,,,,,,,,6278610,11769631,,,,,34233,,,,1252,,,35485,,,,,,,,,5786875,5786875,5822360,300000,5481257,,,,,,166014,5947271,11769631
154677,811007293,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,,3601983,,,,,,,,,,3601983,,,,,,,5426452,,,,,,,,,,,5426452,9028435,,,,12901,29172,,,,1252,,,43325,,,,,,,,,5398749,5398749,5442074,220000,3193257,,,,,,173104,3586361,9028435
154704,900584028,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,0,38384,,4305,,,,,,,,42689,,,,,,,100209431,,,,,,,,,,,100209431,100252120,,,,45006,343,,,,,,,45349,,,,,,,,,,,45349,500,1613184,,,,,1587789,97005298,100206771,100252120
154704,900584028,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,0,59234,,5477,,,,,,,,64711,,,,,,,100211360,,,,,,,,,,,100211360,100276071,,,,40413,1285,,,,,,,41698,,,,,,,,,,,41698,500,1613184,,,,,1587789,97032900,100234373,100276071
154709,890300707,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,294715,4494800,3136558,467386,,,,,,,,8393459,1179365,,,,,,234235,,,,,,4660,,,,,1418260,9811719,111602,116591,228193,2772496,498876,,,,,,,3499565,,,,,61593,,,,,61593,3561158,700000,,,,4175659,,277879,1097023,6250561,9811719
154709,890300707,12/31/2019,50 NIIF Pymes - Separados,Periodo Anterior,490280,4154570,3137046,356988,,,,,,,,8138884,1157059,,,,,,534235,,,,,,12855,,,,,1704149,9843033,92931,116270,209201,3009538,309864,,,,,,,3528603,,,,,61908,,,,,61908,3590511,700000,,,,4175659,,256463,1120400,6252522,9843033
154727,900164346,12/31/2019,50 NIIF Pymes - Separados,Periodo Actual,5454,27811932,2218601,,,,,,,,,30035987,160881,,,,,,,13708577,,,,,62080,,,,,13931538,43967525,,,,1506818,69572,,,,,,,1576390,,,,2782922,1260,,,,,2784182,4360572,574000,,,,3491513,,287000,35254440,39606953,43967525
